espacio,foto_id,url_directa
"La Casilla Sala 3","indoor-3-photo-6","http://localhost:3002/#photo-indoor-3-photo-6"
"La Casilla Sala 3","indoor-3-photo-7","http://localhost:3002/#photo-indoor-3-photo-7"
"La Casilla Sala 3","indoor-3-photo-8","http://localhost:3002/#photo-indoor-3-photo-8"
"La Casilla Sala 3","indoor-3-photo-9","http://localhost:3002/#photo-indoor-3-photo-9"
"La Casilla Sala 3","indoor-3-photo-10","http://localhost:3002/#photo-indoor-3-photo-10"
"La Casilla Sala 4","indoor-4-photo-1","http://localhost:3002/#photo-indoor-4-photo-1"
"La Casilla Sala 4","indoor-4-photo-2","http://localhost:3002/#photo-indoor-4-photo-2"
"La Casilla Sala 4","indoor-4-photo-3","http://localhost:3002/#photo-indoor-4-photo-3"
"La Casilla Sala 4","indoor-4-photo-4","http://localhost:3002/#photo-indoor-4-photo-4"
"La Casilla Sala 4","indoor-4-photo-5","http://localhost:3002/#photo-indoor-4-photo-5"
"La Casilla Sala 4","indoor-4-photo-6","http://localhost:3002/#photo-indoor-4-photo-6"
"La Casilla Sala 4","indoor-4-photo-7","http://localhost:3002/#photo-indoor-4-photo-7"
"La Casilla Sala 4","indoor-4-photo-8","http://localhost:3002/#photo-indoor-4-photo-8"
"La Casilla Sala 4","indoor-4-photo-9","http://localhost:3002/#photo-indoor-4-photo-9"
"La Casilla Sala 4","indoor-4-photo-10","http://localhost:3002/#photo-indoor-4-photo-10"
"La Casilla Sala 4","indoor-4-photo-11","http://localhost:3002/#photo-indoor-4-photo-11"
"La Casilla Sala 4","indoor-4-photo-12","http://localhost:3002/#photo-indoor-4-photo-12"
"La Casilla Sala 4","indoor-4-photo-13","http://localhost:3002/#photo-indoor-4-photo-13"
"La Casilla Sala 4","indoor-4-photo-14","http://localhost:3002/#photo-indoor-4-photo-14"
"La Casilla Sala 4","indoor-4-photo-15","http://localhost:3002/#photo-indoor-4-photo-15"
